Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,No of Seasons,Streaming Platform
Fawlty Towers,1975,7+,8.7,82,"Comedy, 1975",2,BritBox
Counterpart,2017,18+,8.1,82,"Drama, Science-Fiction",2,Prime Video
Ray Donovan,2013,18+,8.3,82,"Drama, Crime",7,Multiple Streaming Platforms
Peep Show,2003,18+,8.6,82,"Comedy, 2003",9,Multiple Streaming Platforms
Halt and Catch Fire,2014,16+,8.4,82,"Drama, 2014",4,Netflix
Neon Genesis Evangelion,1995,16+,8.5,82,"Action & Adventure, Anime",1,Netflix
Naruto,2002,7+,8.3,82,"Action & Adventure, Anime",5,Multiple Streaming Platforms
Primal,2019,16+,8.7,82,"Action & Adventure, Animation",1,Multiple Streaming Platforms
Castlevania,2017,18+,8.2,82,"Animation, Action & Adventure",3,Netflix
Downton Abbey,2010,16+,8.7,82,"Drama, Romance",6,Multiple Streaming Platforms
Family Guy,1999,16+,8.1,82,"Animation, Comedy",18,Multiple Streaming Platforms
The Grand Tour,2016,16+,8.7,82,"Comedy, Travel",4,Prime Video
Eureka,2006,7+,7.9,82,"Comedy, Drama",5,Multiple Streaming Platforms
Revenge,2011,16+,7.8,82,"Drama, Mystery",4,Multiple Streaming Platforms
Lie to Me,2009,16+,8,82,"Crime, Drama",3,Multiple Streaming Platforms
Endeavour,2013,16+,8.6,82,"Drama, Crime",7,Prime Video
Heroes,2006,16+,7.5,82,"Drama, Fantasy",4,Free Services
Power,2014,18+,8.2,82,"Drama, Crime",6,Starz
Monk,2002,16+,8,82,"Crime, Drama",8,Multiple Streaming Platforms
iZombie,2015,16+,7.9,82,"Drama, Science-Fiction",5,Netflix
Gomorrah,2014,18+,8.7,82,"Drama, Crime",4,Unknown
Spaced,1999,18+,8.6,82,"Comedy, Action & Adventure",2,Multiple Streaming Platforms
The Orville,2017,16+,8,82,"Comedy, Drama",2,Hulu
Weeds,2005,18+,7.9,82,"Comedy, Crime",8,Multiple Streaming Platforms
Wynonna Earp,2016,16+,7.4,81,"Drama, LGBTQ",4,Multiple Streaming Platforms
"Love, Victor",2020,16+,8.1,81,"Comedy, LGBTQ",1,Hulu
Chilling Adventures of Sabrina,2018,16+,7.6,81,"Action & Adventure, Drama",3,Netflix
Smallville,2001,7+,7.5,81,"Action & Adventure, Drama",10,Hulu
Lost in Space,2018,7+,7.3,81,"Science-Fiction, Action & Adventure",2,Netflix
Anne with an E,2017,7+,8.7,81,"Drama, Family",3,Netflix
The Vietnam War,2017,18+,9.1,81,"Documentary, History",1,Multiple Streaming Platforms
Marvel's Agent Carter,2015,7+,7.9,81,"Action & Adventure, Drama",2,Disney+
Warehouse 13,2009,7+,7.6,81,"Action & Adventure, Drama",5,Free Services
His Dark Materials,2019,16+,7.9,81,"Drama, Action & Adventure",1,Multiple Streaming Platforms
Dragon Ball Z,1989,7+,8.7,81,"Action & Adventure, Anime",9,Funimation
Humans,2015,16+,8,81,"Drama, Science-Fiction",3,Multiple Streaming Platforms
Boston Legal,2004,16+,8.4,81,"Comedy, Drama",5,Multiple Streaming Platforms
Teenage Bounty Hunters,2020,18+,7.7,81,"Comedy, LGBTQ",1,Netflix
Cosmos,2014,All Ages,9.3,81,"Documentary, 2014",2,Multiple Streaming Platforms
Pose,2018,16+,8.6,81,"Drama, LGBTQ",2,Netflix
Sneaky Pete,2015,18+,8.1,81,"Drama, Crime",3,Prime Video
Desperate Housewives,2004,7+,7.5,81,"Comedy, Drama",8,Multiple Streaming Platforms
"Tiger King: Murder, Mayhem and Madness",2020,18+,7.6,81,"Documentary, Crime",1,Netflix
Over the Garden Wall,2014,7+,8.8,81,"Action & Adventure, Fantasy",1,HBO MAX
Riverdale,2017,16+,7,81,"Drama, Crime",4,Multiple Streaming Platforms
NCIS,2003,16+,7.8,81,"Action & Adventure, Mystery",17,Multiple Streaming Platforms
Titans,2018,18+,7.7,81,"Action & Adventure, Drama",2,DC Universe
GLOW,2017,18+,8,81,"Comedy, Drama",3,Netflix
